survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Yes,846,14.42434988179669,2,8,11,14,18,22,35
Survey 1,No,2076,13.403660886319846,0,8,10,13,16,20,35
Survey 1,(Missing),68,15.073529411764707,6,8,11,14.5,18,23,30
Survey 2,Yes,858,14.235431235431236,1,7,10,13,18,22,36
Survey 2,No,2067,12.70440251572327,0,7,9,12,16,19.40000000000009,34
Survey 2,(Missing),52,14.557692307692308,4,7,10,15,18.25,23,32
Survey 3,Yes,836,14.13755980861244,0,7,10,13,18,22,36
Survey 3,No,2019,12.345220406141655,0,6,9,12,15,20,36
Survey 3,(Missing),62,13.306451612903226,4,7.1000000000000005,9,12,16,21.9,28
