survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Yes,1284,13.769470404984423,0,8,10,13,17,21,35
Survey 1,No,1644,13.694038929440389,0,8,10,13,17,20,35
Survey 1,(Missing),62,13.887096774193548,1,8,11,14,16.75,20,26
Survey 2,Yes,1276,13.29153605015674,0,7,9,13,17,21,36
Survey 2,No,1637,13.083078802687844,2,7,9,13,16,20,34
Survey 2,(Missing),64,13.34375,2,8.3,10,12,16.25,21,23
Survey 3,Yes,1242,13.107085346215781,0,7,9,12,16,21,36
Survey 3,No,1614,12.692688971499381,0,6,9,12,16,20,36
Survey 3,(Missing),61,13.180327868852459,0,9,10,12,16,20,31
