survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,No,2353,13.228219294517636,0,8,10,13,16,20,35
Survey 1,Yes,548,15.547445255474452,3,9,12,15,19,23.30000000000001,35
Survey 1,(Missing),89,15.820224719101123,4,9,12,15,19,24,35
Survey 2,No,2516,12.600953895071543,0,7,9,12,16,19,36
Survey 2,Yes,383,16.433420365535248,2,10,13,16,20,24,34
Survey 2,(Missing),78,15.807692307692308,4,8,11,16,19.75,23.299999999999997,35
Survey 3,No,2489,12.165930092406589,0,6,9,12,15,19,36
Survey 3,Yes,290,18.131034482758622,3,11,14,18,22,26,36
Survey 3,(Missing),138,14.710144927536232,4,8,11,13.5,18.75,23,32
