survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Yes,2769,13.664138678223186,0,8,10,13,17,20,35
Survey 1,No,201,14.487562189054726,4,8,11,14,18,22,30
Survey 1,(Missing),20,15.3,8,9.9,13,14.5,18.25,21.1,24
Survey 2,Yes,2740,13.07992700729927,0,7,9,12,16,20,36
Survey 2,No,200,14.155,2,7.900000000000002,10,14,17,21,30
Survey 2,(Missing),37,15.162162162162161,7,8.6,10,14,19,23.4,28
Survey 3,Yes,2686,12.777364110201042,0,6,9,12,16,21,36
Survey 3,No,195,13.953846153846154,3,7.400000000000002,10,13,17.5,22,36
Survey 3,(Missing),36,14.666666666666666,4,7.5,10,14,18.25,22,32
