survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 1,Yes,2353,13.56438589035274,0,8,10,13,16,20,35
Survey 1,No,603,14.32172470978441,2,8,11,14,18,21,35
Survey 1,(Missing),34,14.735294117647058,6,8.3,11,14.5,18,21,24
Survey 2,Yes,2323,13.010761945759793,0,7,9,12,16,20,35
Survey 2,No,604,13.599337748344372,2,7,10,13,17,21,36
Survey 2,(Missing),50,15.86,7,8.9,11.25,15,20,24,28
Survey 3,Yes,2284,12.65061295971979,0,6,9,12,16,20,36
Survey 3,No,584,13.594178082191782,0,7,9,12,17,21.700000000000045,36
Survey 3,(Missing),49,15.020408163265307,4,7,10,14,18,22,32
