survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Yes,805,20.61863354037267,0,3,8,17,28,44,84
Survey 2,No,1912,14.5418410041841,0,1,4,11,21,33,77
Survey 2,(Missing),15,15.266666666666667,0,2.4000000000000004,5.5,11,19.5,33.8,45
Survey 3,Yes,793,17.37200504413619,0,1,4,12,25,43,80
Survey 3,No,1894,11.3558606124604,0,0,2,7,17,29,74
Survey 3,(Missing),50,14.7,0,0.9000000000000004,4,12,21.5,35,45
