survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Male,1280,14.00546875,0,0,3,9,20,34,84
Survey 2,Female,1365,18.562637362637364,0,3,8,16,26,39,80
Survey 2,Other,6,17.166666666666668,5,6.5,9,16.5,21,28.5,36
Survey 2,(Missing),81,15.592592592592593,0,3,6,11,23,35,62
Survey 3,Male,1309,11.504965622612682,0,0,1,6,16,32,75
Survey 3,Female,1334,14.65592203898051,0,0,3,10,21,35,80
Survey 3,Other,7,21.142857142857142,1,2.8000000000000003,6,20,27,42.400000000000006,61
Survey 3,(Missing),87,14.482758620689655,0,1.1999999999999993,4.5,8,20.5,37.80000000000001,70
