survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Yes,1165,16.901287553648068,0,1,5,13,24,39,84
Survey 2,No,1516,15.839050131926122,0,1,5,13,23,35,79
Survey 2,(Missing),51,18.215686274509803,0,1,7.5,15,25.5,38,57
Survey 3,Yes,1169,14.054747647562019,0,0,2,9,21,36,80
Survey 3,No,1513,12.401850627891607,0,0,2,8,18,31,76
Survey 3,(Missing),55,15,0,0,3,7,22.5,41.2,65
