survey_chr,catvar_explicit_na,n,mean,min,Q10,Q25,Q50,Q75,Q90,max
Survey 2,Yes,1614,16.16914498141264,0,1,5,13,24,35,84
Survey 2,No,1066,16.421200750469044,0,1,5,13,24,38,79
Survey 2,(Missing),52,19.78846153846154,0,2.1000000000000005,7,18,28.25,42.8,80
Survey 3,Yes,1630,12.955828220858896,0,0,2,9,19,33,80
Survey 3,No,1055,13.278672985781991,0,0,2,9,20,34.60000000000002,74
Survey 3,(Missing),52,17.153846153846153,0,1,3.75,12.5,24.75,38.9,74
