x,predicted,std.error,conf.low,conf.high,group
White,13.684270355525001,0.11236257666188307,13.46404375205759,13.904496958992413,Survey 1
White,13.033527154410642,0.11251637196133048,12.812999117695322,13.254055191125962,Survey 2
White,12.758717744607395,0.11329652358424425,12.536660638808684,12.980774850406107,Survey 3
Not white,13.840313864280173,0.20744773186991497,13.433723781140618,14.246903947419728,Survey 1
Not white,13.602626122070408,0.20796322422028654,13.195025692489818,14.010226551650998,Survey 2
Not white,13.25737871305432,0.20890818139350095,12.847926201447299,13.666831224661342,Survey 3
