x,predicted,std.error,conf.low,conf.high,group
Yes,13.670328432257872,0.10120555468423871,13.471969190041365,13.868687674474378,Survey 1
Yes,13.088588366728136,0.10155317153071049,12.889547808012125,13.287628925444146,Survey 2
Yes,12.803996676205594,0.10221008392773187,12.603668592850424,13.004324759560765,Survey 3
No,14.471294418537642,0.3751645997205225,13.735985314811032,15.206603522264253,Survey 1
No,14.220009257655438,0.3757648812952099,13.483523623661858,14.956494891649017,Survey 2
No,14.020786715887818,0.3788435571164618,13.27826698816451,14.763306443611125,Survey 3
