x,predicted,std.error,conf.low,conf.high,group
Yes,13.569622457335223,0.10959953908714218,13.354811308002235,13.78443360666821,Survey 1
Yes,13.019813210639585,0.11006162437209403,12.804096390790304,13.235530030488865,Survey 2
Yes,12.673697234136142,0.11066845986515193,12.456791038575927,12.890603429696357,Survey 3
No,14.328558928025485,0.21660262021367171,13.904025593449681,14.753092262601289,Survey 1
No,13.643552914234034,0.21647290338562034,13.2192738199694,14.067832008498668,Survey 2
No,13.648799235421578,0.2188459512451264,13.219869052818721,14.077729418024434,Survey 3
