x,predicted,std.error,conf.low,conf.high,group
Yes,13.785780734643154,0.14884814711777203,13.494043727126801,14.077517742159507,Survey 1
Yes,13.303859009873275,0.14915679412045948,13.011517065347718,13.596200954398832,Survey 2
Yes,13.120469239288237,0.15048278575442753,12.825528398916303,13.415410079660171,Survey 3
No,13.7056650666798,0.1317454159083445,13.447448796371194,13.963881336988404,Survey 1
No,13.099784850294032,0.13192547825558176,12.84121566426987,13.358354036318195,Survey 2
No,12.72569230856558,0.13252632904842765,12.465945476627358,12.985439140503804,Survey 3
