x,predicted,std.error,conf.low,conf.high,group
0,14.217586147344614,0.17869114812145107,13.867357932670458,14.567814362018769,Survey 1
0,13.284839814335431,0.5241648880090023,12.257495511877316,14.312184116793546,Survey 2
0,12.750106907665495,0.5473083459989018,11.677402261069462,13.822811554261529,Survey 3
1-5,13.790692723028348,0.14412127793947863,13.508220208861083,14.073165237195614,Survey 1
1-5,13.486731452450593,0.24780684956245105,13.001038952185855,13.972423952715332,Survey 2
1-5,12.372681514261195,0.28508364427787947,11.813927838895124,12.931435189627267,Survey 3
6-10,13.509735989839799,0.2004264589461071,13.116907348756532,13.902564630923065,Survey 1
6-10,13.643388207681436,0.24973572615988557,13.153915178755103,14.13286123660777,Survey 2
6-10,13.3608733288732,0.2882388246404461,12.79593561363177,13.925811044114631,Survey 3
11-15,13.393657024382556,0.2685622912459732,12.867284605934891,13.92002944283022,Survey 1
11-15,13.142481823255933,0.26743508791035997,12.618318682749324,13.666644963762542,Survey 2
11-15,12.886556172493048,0.29349724157269336,12.311312149448717,13.461800195537378,Survey 3
16-20,13.458920711827261,0.32810125311569155,12.815854072438047,14.101987351216476,Survey 1
16-20,12.88021455783045,0.22983010432250986,12.429755830795248,13.330673284865654,Survey 2
16-20,13.189765435156156,0.2608217103361673,12.67856427651113,13.700966593801182,Survey 3
21-25,13.305568462791152,0.47662468063164576,12.371401254610221,14.239735670972083,Survey 1
21-25,12.747236185178863,0.26645978026138123,12.2249846125381,13.269487757819627,Survey 2
21-25,12.30369680903238,0.2903375863893072,11.73464559635105,12.872748021713708,Survey 3
26-30,12.671763710041182,0.5465416732893141,11.60056171434387,13.742965705738493,Survey 1
26-30,12.984931919999427,0.2654881535294472,12.464584700759671,13.505279139239184,Survey 2
26-30,12.528687759381807,0.2723212900639099,11.994947838633058,13.062427680130556,Survey 3
31-35,14.284857523283945,1.144023300663239,12.04261305650936,16.52710199005853,Survey 1
31-35,13.579548093176033,0.41083171413004393,12.774332729774292,14.384763456577774,Survey 2
31-35,12.374082197307235,0.38402726279212845,11.621402593153165,13.126761801461305,Survey 3
> 36,13.461182886594193,0.38164174889959657,12.713178803754104,14.209186969434281,Survey 1
> 36,13.159402392094663,0.1557154731377888,12.854205672908982,13.464599111280343,Survey 2
> 36,13.130214829701037,0.13961705646818687,12.856570427395896,13.403859232006178,Survey 3
